brand,perfume,notes
franck-boclet,enjoy,bergamot lemon orange nutmeg rose geranium pepper violet cinnamon jasmine incense ambroxan white musk
franck-boclet,cocaine,caramel tobacco bitter orange red berries tuberose lily orchid monoi oil vanilla patchouli
ds-durga,plumes,laurels watery notes coconut frangipani tuberose jasmine vine vetyver amyris musk
jean-paul-gaultier,le-male-xmas-limited-edition,mint lavender vanilla
o-boticario,floratta-in-gold,peach pineapple orchid neroli jasmine heliotrope lily-of-the-valley amber vanille sandalwood musk
prada,prada-paradoxe-virtual-flower,bergamot jasmine neroli musk ambrette
oriflame,glacier-ice,bergamot tangerine apple cypress lemongrass ivy cedar oakmoss guaiac wood
adolfo-dominguez,u,bergamot raspberry black currant mandarin orange rose lily-of-the-valley freesia magnolia sandalwood patchouli virginia cedar
faberlic,alatau,water notes mint amalfi lemon red berries hyacinth lily-of-the-valley violet orange blossom wild rose pine oak moss musk vetiver orris root amber patchouli
antonio-maretti,walk-of-shame,bergamot pineapple aldehydes rose gardenia cedar ambrox super
gisada,gisada-donna,cotton candy iris violet sicilian bergamot patchouli jasmine sambac benzoin white peach blossom musk sandalwood coffee tuberose
mercedes-benz,mercedes-benz-for-her-fanciful-edition,green mandarin lemon freesia jasmine rose incense white musk frangipani amberwood
lanvin,eclat-d-arpege-limited-edition,mandarin orange bergamot grapefruit rose peach african orange flower jasmine musk virginia cedar vetiver amber
thera-cosmeticos,malta,sea notes bergamot rosemary sage geranium incense patchouli
spirit-of-kings,sagira,grapefruit peach mandarin orange toffee violet damask rose rose patchouli musk moss
eva-longoria,eva,citruses bergamot aldehydes neroli lily-of-the-valley violet freesia jasmine musk sandalwood amber
bortnikoff,cologne-de-la-terre,bergamot litsea cubeba pear green apple beeswax saffron ambergris natural musk sandalwood
avon,scentini-citrus-chill,blood orange mandarin orange guava passion flower apple blossom musk amber
guerlain,perle-imperiale,bergamot fig powdery notes sandalwood leather myrrh
o-boticario,banho-de-sorte,italian lemon cardamom pink pepper ginger mandarin orange clove leaf geranium violet moss patchouli virginian cedar sandalwood amber
ted-baker,x2o-extraordinary-for-women,grapefruit star anise magnolia mirabelle plum water lily precious woods musk
